Date,Store_ID,Store_Location,Store_Size,Store_Type,Sales,Customers_Count,Promotions,Holidays,Temperature,GDP_Growth
2023-01-01,101,Urban,2000,Grocery,5000,120,Yes,No,5,2.5
2023-01-02,102,Suburban,1500,Apparel,7000,150,No,No,7,2.6
2023-01-03,103,Rural,3000,Electronics,6500,130,Yes,Yes,3,2.4
2023-01-04,101,Urban,2000,Grocery,5200,125,No,No,6,2.5
2023-01-05,102,Suburban,1500,Apparel,6800,140,Yes,No,8,2.7
2023-01-06,103,Rural,3000,Electronics,6300,128,No,Yes,4,2.4
2023-01-07,101,Urban,2000,Grocery,5100,122,Yes,No,5,2.5
2023-01-08,102,Suburban,1500,Apparel,7200,155,No,No,9,2.8
2023-01-09,103,Rural,3000,Electronics,6400,132,Yes,Yes,2,2.3
2023-01-10,101,Urban,2000,Grocery,5300,124,No,No,6,2.5
2023-01-11,102,Suburban,1500,Apparel,6900,138,Yes,No,7,2.6
2023-01-12,103,Rural,3000,Electronics,6550,136,No,Yes,3,2.4
2023-01-13,101,Urban,2000,Grocery,4950,118,Yes,No,4,2.5
2023-01-14,102,Suburban,1500,Apparel,7100,148,No,No,8,2.7
2023-01-15,103,Rural,3000,Electronics,6700,134,Yes,Yes,2,2.4
2023-01-16,101,Urban,2000,Grocery,5100,121,No,No,5,2.5
2023-01-17,102,Suburban,1500,Apparel,7300,152,Yes,No,9,2.8
2023-01-18,103,Rural,3000,Electronics,6600,130,No,Yes,4,2.4
2023-01-19,101,Urban,2000,Grocery,5200,125,Yes,No,6,2.5
2023-01-20,102,Suburban,1500,Apparel,7000,146,No,No,7,2.6
2023-01-21,103,Rural,3000,Electronics,6400,129,Yes,Yes,3,2.4
2023-01-22,101,Urban,2000,Grocery,5050,119,No,No,5,2.5
2023-01-23,102,Suburban,1500,Apparel,7150,149,Yes,No,8,2.7
2023-01-24,103,Rural,3000,Electronics,6650,135,No,Yes,2,2.4
2023-01-25,101,Urban,2000,Grocery,5100,122,Yes,No,6,2.5
2023-01-26,102,Suburban,1500,Apparel,6950,143,No,No,7,2.6
2023-01-27,103,Rural,3000,Electronics,6250,125,Yes,Yes,3,2.4
2023-01-28,101,Urban,2000,Grocery,5200,124,No,No,5,2.5
2023-01-29,102,Suburban,1500,Apparel,7050,147,Yes,No,8,2.7
2023-01-30,103,Rural,3000,Electronics,6350,127,No,Yes,4,2.4
2023-01-31,101,Urban,2000,Grocery,4950,117,Yes,No,4,2.5
2023-02-01,102,Suburban,1500,Apparel,7200,150,No,No,9,2.8
2023-02-02,103,Rural,3000,Electronics,6550,133,Yes,Yes,2,2.4
2023-02-03,101,Urban,2000,Grocery,5150,120,No,No,5,2.5
2023-02-04,102,Suburban,1500,Apparel,6950,142,Yes,No,7,2.6
2023-02-05,103,Rural,3000,Electronics,6450,131,No,Yes,3,2.4
2023-02-06,101,Urban,2000,Grocery,5050,118,Yes,No,4,2.5
2023-02-07,102,Suburban,1500,Apparel,7250,154,No,No,8,2.7
2023-02-08,103,Rural,3000,Electronics,6600,134,Yes,Yes,2,2.4
2023-02-09,101,Urban,2000,Grocery,5100,119,No,No,6,2.5
2023-02-10,102,Suburban,1500,Apparel,7000,144,Yes,No,7,2.6
2023-02-11,103,Rural,3000,Electronics,6400,130,No,Yes,3,2.4
2023-02-12,101,Urban,2000,Grocery,4950,115,Yes,No,4,2.5
2023-02-13,102,Suburban,1500,Apparel,7150,151,No,No,9,2.8
2023-02-14,103,Rural,3000,Electronics,6550,132,Yes,Yes,2,2.4
2023-02-15,101,Urban,2000,Grocery,5200,121,No,No,5,2.5
2023-02-16,102,Suburban,1500,Apparel,6900,137,Yes,No,8,2.7
2023-02-17,103,Rural,3000,Electronics,6350,126,No,Yes,4,2.4
2023-02-18,101,Urban,2000,Grocery,5050,117,Yes,No,5,2.5
2023-02-19,102,Suburban,1500,Apparel,7100,149,No,No,9,2.8
2023-02-20,103,Rural,3000,Electronics,6450,128,Yes,Yes,3,2.4
2023-02-21,101,Urban,2000,Grocery,5100,120,No,No,6,2.5
2023-02-22,102,Suburban,1500,Apparel,6950,139,Yes,No,7,2.6
2023-02-23,103,Rural,3000,Electronics,6400,129,No,Yes,3,2.4
2023-02-24,101,Urban,2000,Grocery,4950,113,Yes,No,4,2.5
2023-02-25,102,Suburban,1500,Apparel,7200,153,No,No,8,2.7
2023-02-26,103,Rural,3000,Electronics,6600,135,Yes,Yes,2,2.4
2023-02-27,101,Urban,2000,Grocery,5100,119,No,No,5,2.5
2023-02-28,102,Suburban,1500,Apparel,7000,140,Yes,No,7,2.6
2023-03-01,103,Rural,3000,Electronics,6400,125,No,Yes,3,2.4
2023-03-02,101,Urban,2000,Grocery,5050,116,Yes,No,4,2.5
2023-03-03,102,Suburban,1500,Apparel,7150,148,No,No,8,2.7
2023-03-04,103,Rural,3000,Electronics,6550,132,Yes,Yes,2,2.4
2023-03-05,101,Urban,2000,Grocery,5200,122,No,No,6,2.5
2023-03-06,102,Suburban,1500,Apparel,6900,138,Yes,No,7,2.6
2023-03-07,103,Rural,3000,Electronics,6350,127,No,Yes,4,2.4
2023-03-08,101,Urban,2000,Grocery,4950,114,Yes,No,4,2.5
2023-03-09,102,Suburban,1500,Apparel,7200,154,No,No,9,2.8
2023-03-10,103,Rural,3000,Electronics,6600,134,Yes,Yes,2,2.4
